"Symptom Type","Reporter Comment"
"5 - Quality Issue - Assembly","M567/CS7010: Scrub Deck does not time out correctly."
"3 - Quality Issue - Supplier","M445/SW8000: Hopper (56507087) has the incorrect insert. PN (56003460) INSERT - HEX 8-32 UNC was misplaced with 10-24 UNC Inserts.

Refer to DEV-05406
(Approved 04/06/2021)"
"5 - Quality Issue - Assembly","Squeegee roller is locked up"
"4 - Quality Issue - Functional","Horn and backup alarm are both much quieter than normal"
"4 - Quality Issue - Functional","SC50/FL843 Horn quiet, but ok by Nicolai Bolboceanu."
"5 - Quality Issue - Assembly","M903: coolest level is too high and not clean."
"1 - Performance Loss","M903: Serial Number is incorrect from Visual Factory. SN#: 1000073537. "
"4 - Quality Issue - Functional","FL836: Fault Code (5-E4B1: Clock Battery Dead) keeps appearing. This machine came from R&D. Fault Code NOT under Service Manuel. Drove machine, clear faults, and rebooted the machine. No changes. Possible new Firmware 5.07."
"4 - Quality Issue - Functional","Active fault code "
"5 - Quality Issue - Assembly","Tree zip tie holder broken"
"5 - Quality Issue - Assembly","Battery terminal loose "
"5 - Quality Issue - Assembly","SC50/FL843 loose bolt on electrical panel."
"Assembly Issue","CS7010/M777 - Right side scrub deck isn't working properly, water isn't coming out. "
"Assembly Issue","7765-M903-visual factory serial number is not right"
"Assembly Issue","7765-M903-engine cover does not close right"
"Assembly Issue","CS7010/M777 - left side broom is higher than right side."
"Part Shortage","impeller assy missing cs7010"
"5 - Quality Issue - Assembly","SC50/FL844 Missing tag location assembly."
"5 - Quality Issue - Assembly","SC50/FL844 missing location tag assembly."
"5 - Quality Issue - Assembly","SC50/FL844 missing location tag assembly."
"Assembly Issue","M903/7765 - Solution tank keeps hitting the side of where the fuse indicator are."
"5 - Quality Issue - Assembly","N123: steering wheel chain is tight. Need to be loose but not too slack."
"5 - Quality Issue - Assembly","N123: missing decal for steering wheel lever."
"5 - Quality Issue - Assembly","N123: missing screw from support steering wheel."
"5 - Quality Issue - Assembly","SC50/FL844 has a loose bolt on electrical panel."
"5 - Quality Issue - Assembly","SC50/FL836 missing small location tag assembly."
"Assembly Issue","FL843 SC50 keeps indicating action required solution tank is empty. Refill with water. Fault code 1-0403 ABORT Out of water. Probable causes could be Plugged filter, Faulty solution solenoid, Faulty solution pump, Faulty flow meter."
"Assembly Issue","Horn is faint and quiet. Tried different horns as well. They all sounded faint."
"Assembly Issue","N391?sc6500- Lower column light is not bright... battery is full but light is not bright "
"Assembly Issue","N391/Sc6500-Becan not turning on"
"5 - Quality Issue - Assembly","SC50/FL836 motor under recovery tank need to be adjusted."
"5 - Quality Issue - Assembly","M808: broken torque seals for hydraulic cables. This is the 3rd time under observation. Please inform assembler. Even though torque seals are align, they still need to be touch or connected. If any questions please ask Benson."
"5 - Quality Issue - Assembly","SC6500/N334 missing serial decal under machine."
"Part Shortage","missing intermediate cover 56507565"
"2 - Quality Issue - Appearance","M817: tried to reinstall decal but cause a scratch on it. Need new decal."
"5 - Quality Issue - Assembly","M817: loose decal from hopper weldment."
"5 - Quality Issue - Assembly","M817: orange torque seals are broken from hydraulic cables."
"Assembly Issue","2 out of 3 UV bulb status LED's are green. Farthest left LED is red."
"5 - Quality Issue - Assembly","Matt from EOL was able to fix the main broom door to latch, however it cause another problem which now it won't click twice when latched on."
"5 - Quality Issue - Assembly","SC6500/N120 steering wheel chain too tight."
"Assembly Issue","FL844 SC50 Liberty - Squeegee arm does not slide freely "
"5 - Quality Issue - Assembly","M809: orange torque seal is broken from manifold. Even if they’re align, they need to be touch."
"5 - Quality Issue - Assembly","M809: main broom door is not latching. Must lift broom door to latch."
"Assembly Issue","N335/Sc6500- Break is making noise "
"Assembly Issue","N335/Sc6500- Side broom adjustment is too high needed to adjust to be  lower "
"Part Shortage","missing intermediate cover 56507565"
"Assembly Issue","7765/M903 MISING BROOM IDLER ASSY from (SUB1)"
"Assembly Issue","wrong deck size was put on machine. MO is for a 48"" and installed deck is a 45"""
"5 - Quality Issue - Assembly","SC6500/N386 recovery hose has an extra metal clamp "
"5 - Quality Issue - Assembly","M904: right cover support hopper is loose. Makes vibrating noise when operating machine."
"5 - Quality Issue - Assembly","M904: loose latch for hopper cover."
"4 - Quality Issue - Functional","Headlights don’t work"
"Assembly Issue","7765-M904-right side bumper drill hole is hitting the wire for the right rear light."
"Assembly Issue","N334/Sc6500 Missing hopper"
"Assembly Issue","Recovery tank warped on left side no decals installed at the movement, pending QA approval."
"Part Shortage","missing clamps for side broom weldments. (56413403) "
"5 - Quality Issue - Assembly","7765/M846 front bumper has a scratch."
"Part Shortage","missing intermediate cover 56507565"
"5 - Quality Issue - Assembly","7756/M846 missing washers on front bumper rollers."
"1 - Performance Loss","7765/M846 MISSING BOM FORM."
"Assembly Issue","	SW8000/M817 hopper wont come back down only goes up"
"Assembly Issue","N334/Sc6500- We are missing lift arm brush motor just the right side 56394103"
"Assembly Issue","SW8000/M817 hopper wont come back down only goes up "
"2 - Quality Issue - Appearance","SW8000/M816 LP pad is damaged "
"2 - Quality Issue - Appearance","SW8000/M816 have scratch under hopper "
"Part Shortage","missing bumper stopper on deck (56413714) due to remstar being down"
"5 - Quality Issue - Assembly","SC50/FL838  Failed Scrub Deck testing, height too high. "
"Assembly Issue","FL840 SC50 Liberty - led light strip is flickering 
"
"Assembly Issue","FL840 SC50 Liberty - led light strip is flickering 
"
"5 - Quality Issue - Assembly","SC50/FL839 right side drop- off laser sensor cable installed wrongly."
"5 - Quality Issue - Assembly","Back up alarm installed, machine did not call out for it"
"5 - Quality Issue - Assembly","SC6500/N386 drain hose on the recovery tank is missing the metal clamp as for the recovery hose has an extra one "
"1 - Performance Loss","SC6500/N386 Missing Liquid Level Switch."
"Assembly Issue","SW8000-M1056-fual gauge is not working"
"Part Shortage","missing striker 56107824 for the seat support latch."
"Assembly Issue","clip on vac motor plug snapped off. needs to be replaced. "
"5 - Quality Issue - Assembly","SC6500/N036 Missing Liquid Level Switch."
"5 - Quality Issue - Assembly","Missing rear decal"
"5 - Quality Issue - Assembly","SC6500/N343 has a loose brake from the right side."
"Assembly Issue","M958/SW8000 - Leaking inside the engine bay."
"5 - Quality Issue - Assembly","SC6500/N343 has a loose drive wheel chain."
"5 - Quality Issue - Assembly","SC6500/N343 have different solution tank and approved by John Wenner."
"5 - Quality Issue - Assembly","Cleaner can in machine"
"Assembly Issue","FL838 SC50 Liberty - water leaking from solution tank water meter "
"4 - Quality Issue - Functional","SC50/FL836 Still not charging, Zack working on it."
"5 - Quality Issue - Assembly","SC8000/M323 main broom decal is not sticking properly "
"1 - Performance Loss","No sn paperwork ohg"
"Assembly Issue","N386-Sc6500- Machine is a 1300c 45deck was installed instead of  a 48c"
"5 - Quality Issue - Assembly","SC6500/N025 Missing serial unmbers in VF."
"5 - Quality Issue - Assembly","SC6500/N025 Missing Liquid level Switch"
"Assembly Issue","Engine cover is hitting the console and won't fully close"
"5 - Quality Issue - Assembly","SC6500/N035 Missing Liquid Level Switch."
"Part Shortage","missing door sw8000 m958"
"Assembly Issue","SC8000-M323-scrub deck wont go up"
"1 - Performance Loss","N024/SC6500 Missing Liquid Level Switch 56413669"
"1 - Performance Loss","N350/SC6500 Missing Liquid Level Switch 56413669"
"5 - Quality Issue - Assembly","SC6500/N382 is missing PL #56380422"
"Assembly Issue","N343/Sc6500-Missing hopper"
"Assembly Issue","N343/Sc6500- Break is to loud "
"Assembly Issue","N343/Sc6500- Side brush is not working"
"Assembly Issue","CS7010-M563-leaking from valve "
"Assembly Issue","missing conduit on short (blue-green + purple wire) plug. The one that connects to cylindrical actuator. "
"Part Shortage","missing hopper cover cs7010"
"Assembly Issue","CS7010/M563 - missing bulb seal"
"5 - Quality Issue - Assembly","CS7010/M562 Strainer from the dust guard kit has a leak."
"Assembly Issue","SW800/M958 machine wont start "
"2 - Quality Issue - Appearance","CS7010/M1213 steering plate has scratch on it."
"5 - Quality Issue - Assembly","CS7010/M1213 low hydraulic liquid for the hopper."
"1 - Performance Loss","CS7010/M1213 has a wrong option (Kit Foot Guard) P#: 56413773."
"5 - Quality Issue - Assembly","Side broom speed control decal is crooked"
"Assembly Issue","FL838 SC50 Liberty - fault code 1-0201 Brush motor overload , 2-021  M1 open "
"Assembly Issue","FL838 SC50 Liberty - fault code 1-0201 Brush motor overload , 2-021  M1 open "
"Part Shortage","missing hopper cover  cs7010"
"5 - Quality Issue - Assembly","SW8000/M356 Called for suspension seat option."
"5 - Quality Issue - Assembly","FL837: drive wheel chain is little loose."
"5 - Quality Issue - Assembly","FL837: System MMC F/W is at 5.07 and CRL Compute is 10.2.3.988. Confirmed with Zach Johnson."
"2 - Quality Issue - Appearance","FL837: scratches on electrical panel."
"5 - Quality Issue - Assembly","SW8000/M350 Engine cover has scratches from LP Tank."
"5 - Quality Issue - Assembly","FL820: System MMC F/W is 5.07. Confirmed by Zach Johnson."
"4 - Quality Issue - Functional","Eco flex latch catching on plastic"
"2 - Quality Issue - Appearance","Dirty steering column"
"5 - Quality Issue - Assembly","SW8000/M350 has a wrong seat installed (deluxe seat)."
"5 - Quality Issue - Assembly","SW8000/M350 has a wrong seat installed (deluxe seat)."
"5 - Quality Issue - Assembly","SW8000/M350 has a wrong seat installed (deluxe seat)."
"5 - Quality Issue - Assembly","FL820: squeegee weldment is not free falling. Screw and nut are too tight. "
"Assembly Issue","M350?SW8000 - Have backup alarm but isn't suppose to. Backup alarm is installed on it."
"Assembly Issue","M350/SW8000 - No hinge for seat to latch on to."
"5 - Quality Issue - Assembly","SC8000/M841 still has a little of leak on fuel line, recommend tightening elbow or replacing elbow."
"Assembly Issue","FL837 SC50 Liberty - unable to pair multicon "
"Assembly Issue","FL837 SC50 Liberty - unable to pair multicon "
"Assembly Issue","N382/Sc6500-Rear side panel wouldn't fix hole was too big "
"4 - Quality Issue - Functional","7765/M831 engine belt is damage "
"5 - Quality Issue - Assembly","SC8000/M841 fuel line has a leak."
"5 - Quality Issue - Assembly","Missing edc cable kit"
"5 - Quality Issue - Assembly","Wrong squeegee "
"5 - Quality Issue - Assembly","SC6500/N380 Missing Liquid Level Switch."
"5 - Quality Issue - Assembly","SC6500/ N380 battery options need to be reviewed, Options sheet might be wrong."
"Assembly Issue","the extra spacer for the striker is too long and causing the latch release handle to hit the edge of the striker."
"Assembly Issue","M841/SC8000 - Leaking under machine, the black pump or something isn't tighten or something."
"5 - Quality Issue - Assembly","SC6500/ N380 Missing battery options advanced."
"5 - Quality Issue - Assembly","SC6500/N380 Missing OverHead Guard Serial Decal"
"Assembly Issue","M831/7765 - Engine cover keeps scratching the edge of the corner, which is causing bits of scratch marks. "
"5 - Quality Issue - Assembly","SC50/FL821 Missing Part For Customer Squeegee (KNOB-M6-1.0 X 30MM LONG STUD) P/N: 56122795."
"Assembly Issue","M323/SC8000 - Missing a plug under the machine to hold the water. "
"Assembly Issue","FL836 SC50 Liberty - unable to pair multicon trackunit "
